Features,Scores
lowlevel.erbbands.dvar2[24].accompaniment,1.5714617114194387
lowlevel.erbbands.kurt[38].accompaniment,10.099865972661826
lowlevel.erbbands.max[11].accompaniment,10.304530056158828
lowlevel.erbbands.max[27].accompaniment,2.49285540645091
lowlevel.erbbands.max[31].accompaniment,2.704128141282389
lowlevel.erbbands.mean[8].accompaniment,16.4473187593471
lowlevel.erbbands.mean[9].accompaniment,14.248955307353832
lowlevel.erbbands.mean[12].accompaniment,6.376327752550246
lowlevel.erbbands.median[26].accompaniment,110.61492530112825
lowlevel.erbbands.skew[7].accompaniment,0.5862364355815028
lowlevel.erbbands.var[4].accompaniment,0.5965122032064285
lowlevel.erbbands.var[6].accompaniment,1.7771164323676945
lowlevel.erbbands.var[13].accompaniment,6.576967674408024
lowlevel.erbbands.var[16].accompaniment,1.6034880265545381
lowlevel.erbbands.var[25].accompaniment,0.8032269149569413
lowlevel.erbbands.var[26].accompaniment,2.2304490788537206
lowlevel.gfcc.kurt[2].accompaniment,2.7483704194811436
lowlevel.gfcc.kurt[3].accompaniment,16.349985356442907
lowlevel.gfcc.kurt[4].accompaniment,17.551185197094068
lowlevel.gfcc.kurt[5].accompaniment,2.1086382806253448
lowlevel.gfcc.kurt[6].accompaniment,2.074005197359235
lowlevel.gfcc.kurt[7].accompaniment,1.1614992447225512
lowlevel.gfcc.kurt[8].accompaniment,0.5290811573754327
lowlevel.gfcc.kurt[9].accompaniment,1.0410857213569316
lowlevel.gfcc.kurt[10].accompaniment,0.25634453045020245
lowlevel.gfcc.kurt[11].accompaniment,0.2332546926720933
lowlevel.gfcc.kurt[12].accompaniment,0.2570571808673173
lowlevel.gfcc.kurt[13].accompaniment,0.2373600225305964
lowlevel.gfcc.max[4].accompaniment,4.963878667876662
lowlevel.gfcc.max[7].accompaniment,0.753668050301512
lowlevel.gfcc.max[8].accompaniment,0.439588230711228
lowlevel.gfcc.max[9].accompaniment,1.481410910775363
lowlevel.gfcc.max[11].accompaniment,5.862534301108025
lowlevel.gfcc.max[12].accompaniment,5.738717192779266
lowlevel.gfcc.max[13].accompaniment,3.989940167553249
lowlevel.gfcc.mean[9].accompaniment,0.4389518927797327
lowlevel.gfcc.mean[10].accompaniment,0.33410970020305025
lowlevel.gfcc.mean[11].accompaniment,0.4516323482190035
lowlevel.gfcc.mean[12].accompaniment,0.11423026034667827
lowlevel.gfcc.mean[13].accompaniment,0.04294724371044547
lowlevel.gfcc.median[5].accompaniment,0.7347148865455062
lowlevel.gfcc.median[7].accompaniment,0.12379937655352546
lowlevel.gfcc.median[8].accompaniment,2.7711802532558694
lowlevel.gfcc.min[2].accompaniment,0.4706243517850226
lowlevel.gfcc.min[3].accompaniment,1.3225002820178418
lowlevel.gfcc.min[6].accompaniment,5.143564847581797
lowlevel.gfcc.min[8].accompaniment,3.3607911380778703
lowlevel.gfcc.min[9].accompaniment,1.6707956779326754
lowlevel.gfcc.min[10].accompaniment,1.433631075211739
lowlevel.gfcc.min[11].accompaniment,1.9398995271270556
lowlevel.gfcc.min[12].accompaniment,2.976058014920705
lowlevel.gfcc.min[13].accompaniment,2.3254785957537956
lowlevel.gfcc.skew[4].accompaniment,0.6165080579126857
lowlevel.gfcc.skew[5].accompaniment,0.7331510965664663
lowlevel.gfcc.skew[6].accompaniment,2.5658375658238732
lowlevel.gfcc.skew[7].accompaniment,0.7673038816243406
lowlevel.gfcc.skew[8].accompaniment,0.6002953665625446
lowlevel.gfcc.skew[9].accompaniment,0.15077900191193705
lowlevel.gfcc.skew[10].accompaniment,0.03386935046445962
lowlevel.gfcc.skew[11].accompaniment,0.13444521543086302
lowlevel.gfcc.skew[12].accompaniment,0.05699087454261073
lowlevel.gfcc.skew[13].accompaniment,0.24386076300985846
lowlevel.gfcc.var[13].accompaniment,11.566838852955485
lowlevel.melbands.kurt[2].accompaniment,3.816895163266798
lowlevel.melbands.kurt[37].accompaniment,17.806580015569025
lowlevel.melbands.max[15].accompaniment,2.5282030717192674
lowlevel.melbands.max[16].accompaniment,3.229279417091843
lowlevel.melbands.skew[12].accompaniment,4.2088408183112005
lowlevel.melbands.skew[16].accompaniment,6.936376473945241
lowlevel.melbands.skew[17].accompaniment,7.937658526231299
lowlevel.melbands128.dmean2[7].accompaniment,15.24581003334264
lowlevel.melbands128.kurt[1].accompaniment,3.665216918755958
lowlevel.melbands128.kurt[2].accompaniment,2.767108538084294
lowlevel.melbands128.kurt[8].accompaniment,2.8496852003376607
lowlevel.melbands128.kurt[12].accompaniment,0.6579755280293462
lowlevel.melbands128.kurt[16].accompaniment,0.199840946313227
lowlevel.melbands128.kurt[17].accompaniment,1.169799185858489
lowlevel.melbands128.kurt[90].accompaniment,15.646511490065542
lowlevel.melbands128.max[13].accompaniment,11.589706697763948
lowlevel.melbands128.max[27].accompaniment,6.114692772788775
lowlevel.melbands128.max[42].accompaniment,1.975946256142956
lowlevel.melbands128.max[43].accompaniment,2.111466931535167
lowlevel.melbands128.max[45].accompaniment,0.42453151373324827
lowlevel.melbands128.max[48].accompaniment,0.6637209922706085
lowlevel.melbands128.max[49].accompaniment,1.367570310738201
lowlevel.melbands128.max[50].accompaniment,1.2728039076198332
lowlevel.melbands128.max[52].accompaniment,1.5773432371842602
lowlevel.melbands128.max[53].accompaniment,1.5724852349123615
lowlevel.melbands128.max[54].accompaniment,1.8851963835870258
lowlevel.melbands128.median[7].accompaniment,8.150658853175722
lowlevel.melbands128.skew[14].accompaniment,0.2613888423500222
lowlevel.melbands128.skew[15].accompaniment,0.19094412211065329
lowlevel.melbands128.skew[20].accompaniment,0.49522191828835327
lowlevel.melbands128.skew[21].accompaniment,0.5564878162281632
lowlevel.melbands128.skew[23].accompaniment,1.5364828583758552
lowlevel.melbands128.skew[27].accompaniment,4.418238235297324
lowlevel.melbands128.skew[32].accompaniment,6.597185728032898
lowlevel.melbands128.skew[34].accompaniment,5.130653211656603
lowlevel.melbands128.skew[38].accompaniment,6.436340355224499
lowlevel.melbands128.skew[42].accompaniment,8.664059509766965
lowlevel.melbands128.skew[47].accompaniment,8.116906631798335
lowlevel.melbands128.skew[48].accompaniment,9.337837953958037
lowlevel.melbands128.skew[53].accompaniment,17.064886946828256
lowlevel.melbands128.skew[54].accompaniment,13.911398908150362
lowlevel.melbands128.skew[55].accompaniment,12.60278996187128
lowlevel.melbands128.skew[56].accompaniment,12.160988517421382
lowlevel.melbands128.skew[57].accompaniment,11.393543684120138
lowlevel.melbands128.skew[60].accompaniment,16.254502273757318
lowlevel.melbands128.skew[63].accompaniment,15.501560306048685
lowlevel.melbands128.skew[65].accompaniment,16.231049893973502
lowlevel.melbands128.skew[67].accompaniment,15.926497620696953
