feature,weight
lowlevel.spectral_energyband_middle_low.mean.accompaniment,0.048075758506818986
lowlevel.spectral_entropy.kurt.accompaniment,0.036732693900798835
lowlevel.spectral_entropy.skew.accompaniment,0.058781528603310075
lowlevel.spectral_flux.kurt.accompaniment,0.053377371805374045
lowlevel.spectral_kurtosis.kurt.accompaniment,0.026251862458751496
lowlevel.spectral_kurtosis.min.accompaniment,0.026251862458751496
lowlevel.spectral_rolloff.kurt.accompaniment,0.06933808503085323
lowlevel.spectral_rolloff.min.accompaniment,0.025231649091632766
lowlevel.spectral_strongpeak.kurt.accompaniment,0.025231649091632766
rhythm.bpm.accompaniment,0.026251862458751496
rhythm.onset_rate.accompaniment,0.0767111670752523
tonal.chords_strength.min.accompaniment,0.025231649091632766
tonal.chords_strength.skew.accompaniment,0.025231649091632766
tonal.chords_strength.var.accompaniment,0.025231649091632766
tonal.hpcp_crest.max.accompaniment,0.026251862458751496
tonal.hpcp_entropy.kurt.accompaniment,0.026251862458751496
tonal.hpcp_entropy.skew.accompaniment,0.04939543113626661
tonal.tuning_equal_tempered_deviation.accompaniment,0.07424900367378853
tonal.tuning_frequency.accompaniment,0.026251862458751496
lowlevel.barkbands.max[6].accompaniment,0.04290843925149157
lowlevel.barkbands.max[9].accompaniment,0.026251862458751496
lowlevel.barkbands.max[11].accompaniment,0.026251862458751496
lowlevel.barkbands.max[12].accompaniment,0.025231649091632766
lowlevel.barkbands.max[21].accompaniment,0.026251862458751496
lowlevel.barkbands.mean[10].accompaniment,0.025231649091632766
lowlevel.barkbands.skew[9].accompaniment,0.03948535120694769
lowlevel.barkbands.skew[10].accompaniment,0.026251862458751496
lowlevel.barkbands.skew[12].accompaniment,0.04415276361445294
lowlevel.erbbands.dvar2[20].accompaniment,0.025231649091632766
lowlevel.erbbands.dvar2[23].accompaniment,0.025231649091632766
lowlevel.erbbands.dvar2[24].accompaniment,0.025231649091632766
lowlevel.erbbands.kurt[38].accompaniment,0.025231649091632766
lowlevel.erbbands.max[11].accompaniment,0.026251862458751496
lowlevel.erbbands.max[27].accompaniment,0.04089840014375078
lowlevel.erbbands.max[31].accompaniment,0.026251862458751496
lowlevel.erbbands.mean[8].accompaniment,0.04844255492245849
lowlevel.erbbands.mean[9].accompaniment,0.04623508789506736
lowlevel.erbbands.mean[12].accompaniment,0.026251862458751496
lowlevel.erbbands.median[26].accompaniment,0.10442415382719415
lowlevel.erbbands.skew[7].accompaniment,0.025231649091632766
lowlevel.erbbands.var[4].accompaniment,0.025231649091632766
lowlevel.erbbands.var[6].accompaniment,0.025231649091632766
lowlevel.erbbands.var[13].accompaniment,0.025231649091632766
lowlevel.erbbands.var[16].accompaniment,0.025231649091632766
lowlevel.erbbands.var[25].accompaniment,0.025231649091632766
lowlevel.erbbands.var[26].accompaniment,0.026251862458751496
lowlevel.gfcc.kurt[2].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[3].accompaniment,0.047115868695190154
lowlevel.gfcc.kurt[4].accompaniment,0.046544948648076435
lowlevel.gfcc.kurt[5].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[6].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[7].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[8].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[9].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[10].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[11].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[12].accompaniment,0.025231649091632766
lowlevel.gfcc.kurt[13].accompaniment,0.025231649091632766
lowlevel.gfcc.max[4].accompaniment,0.026251862458751496
lowlevel.gfcc.max[7].accompaniment,0.026251862458751496
lowlevel.gfcc.max[8].accompaniment,0.025231649091632766
lowlevel.gfcc.max[9].accompaniment,0.03037546688616303
lowlevel.gfcc.max[11].accompaniment,0.06813945268123907
lowlevel.gfcc.max[12].accompaniment,0.03580454753836927
lowlevel.gfcc.max[13].accompaniment,0.043910464448023385
lowlevel.gfcc.mean[10].accompaniment,0.026251862458751496
lowlevel.gfcc.median[5].accompaniment,0.026251862458751496
lowlevel.gfcc.min[2].accompaniment,0.025231649091632766
lowlevel.gfcc.min[6].accompaniment,0.026251862458751496
lowlevel.gfcc.min[8].accompaniment,0.04850665609506923
lowlevel.gfcc.min[9].accompaniment,0.026251862458751496
lowlevel.gfcc.min[10].accompaniment,0.03221286263008807
lowlevel.gfcc.min[11].accompaniment,0.026251862458751496
lowlevel.gfcc.min[12].accompaniment,0.03776235861753471
lowlevel.gfcc.min[13].accompaniment,0.03129248686007421
lowlevel.gfcc.skew[4].accompaniment,0.026251862458751496
lowlevel.gfcc.skew[5].accompaniment,0.025231649091632766
lowlevel.gfcc.skew[6].accompaniment,0.026251862458751496
lowlevel.gfcc.skew[7].accompaniment,0.026251862458751496
lowlevel.gfcc.skew[8].accompaniment,0.025231649091632766
lowlevel.gfcc.skew[9].accompaniment,0.026251862458751496
lowlevel.gfcc.skew[10].accompaniment,0.025231649091632766
lowlevel.gfcc.skew[11].accompaniment,0.025231649091632766
lowlevel.gfcc.skew[12].accompaniment,0.025231649091632766
lowlevel.gfcc.skew[13].accompaniment,0.025231649091632766
lowlevel.melbands.kurt[2].accompaniment,0.026251862458751496
lowlevel.melbands.kurt[37].accompaniment,0.026251862458751496
lowlevel.melbands.max[15].accompaniment,0.025231649091632766
