feature,index,weight
rhythm.beats_loudness_band_ratio.min[4].original,309,0.026795978542166483
rhythm.beats_loudness_band_ratio.var[1].original,310,0.027801692974787285
rhythm.beats_loudness_band_ratio.var[2].original,311,0.09856236527153522
rhythm.beats_loudness_band_ratio.var[3].original,312,0.08169888423215305
tonal.chords_histogram[1].original,313,0.027801692974787285
tonal.chords_histogram[2].original,314,0.027801692974787285
tonal.chords_histogram[3].original,315,0.026795978542166483
tonal.chords_histogram[4].original,316,0.026795978542166483
tonal.chords_histogram[5].original,317,0.026795978542166483
tonal.chords_histogram[6].original,318,0.026795978542166483
tonal.chords_histogram[7].original,319,0.026795978542166483
tonal.chords_histogram[8].original,320,0.026795978542166483
tonal.chords_histogram[9].original,321,0.026795978542166483
tonal.chords_histogram[10].original,322,0.026795978542166483
tonal.chords_histogram[11].original,323,0.026795978542166483
tonal.chords_histogram[12].original,324,0.026795978542166483
tonal.chords_histogram[13].original,325,0.026795978542166483
tonal.chords_histogram[16].original,326,0.026795978542166483
tonal.chords_histogram[17].original,327,0.026795978542166483
tonal.chords_histogram[18].original,328,0.026795978542166483
tonal.chords_histogram[19].original,329,0.026795978542166483
tonal.chords_histogram[20].original,330,0.026795978542166483
tonal.chords_histogram[21].original,331,0.026795978542166483
tonal.chords_histogram[22].original,332,0.026795978542166483
tonal.chords_histogram[23].original,333,0.026795978542166483
tonal.chords_histogram[24].original,334,0.026795978542166483
tonal.hpcp.dmean2[1].original,335,0.07251069610512839
tonal.hpcp.dmean2[5].original,336,0.05759578901140377
tonal.hpcp.dmean2[9].original,337,0.07147999178183422
tonal.hpcp.dmean2[13].original,338,0.1025657797188584
tonal.hpcp.dmean2[19].original,339,0.09162365061327842
tonal.hpcp.dmean2[23].original,340,0.07126124197234178
tonal.hpcp.dmean2[25].original,341,0.07551718987445255
tonal.hpcp.dmean2[28].original,342,0.08328869370049925
tonal.hpcp.dmean2[35].original,343,0.08537701921051433
tonal.hpcp.kurt[1].original,344,0.026795978542166483
tonal.hpcp.kurt[2].original,345,0.026795978542166483
tonal.hpcp.kurt[3].original,346,0.026795978542166483
tonal.hpcp.kurt[4].original,347,0.026795978542166483
tonal.hpcp.kurt[6].original,348,0.026795978542166483
tonal.hpcp.kurt[8].original,349,0.026795978542166483
tonal.hpcp.kurt[9].original,350,0.026795978542166483
tonal.hpcp.kurt[10].original,351,0.026795978542166483
tonal.hpcp.kurt[13].original,352,0.026795978542166483
tonal.hpcp.kurt[15].original,353,0.026795978542166483
tonal.hpcp.kurt[16].original,354,0.026795978542166483
tonal.hpcp.kurt[18].original,355,0.026795978542166483
tonal.hpcp.kurt[20].original,356,0.026795978542166483
tonal.hpcp.kurt[22].original,357,0.026795978542166483
tonal.hpcp.kurt[24].original,358,0.026795978542166483
tonal.hpcp.kurt[25].original,359,0.026795978542166483
tonal.hpcp.kurt[26].original,360,0.026795978542166483
tonal.hpcp.kurt[28].original,361,0.026795978542166483
tonal.hpcp.kurt[30].original,362,0.026795978542166483
tonal.hpcp.kurt[32].original,363,0.026795978542166483
tonal.hpcp.kurt[33].original,364,0.026795978542166483
tonal.hpcp.kurt[34].original,365,0.026795978542166483
tonal.hpcp.kurt[36].original,366,0.026795978542166483
tonal.hpcp.median[2].original,367,0.027801692974787285
tonal.hpcp.median[3].original,368,0.027801692974787285
tonal.hpcp.median[5].original,369,0.027801692974787285
tonal.hpcp.median[8].original,370,0.027801692974787285
tonal.hpcp.median[11].original,371,0.027801692974787285
tonal.hpcp.median[12].original,372,0.05796594700562566
tonal.hpcp.median[14].original,373,0.07382987009825243
tonal.hpcp.median[17].original,374,0.04395268660673869
tonal.hpcp.median[18].original,375,0.07424649069358366
tonal.hpcp.median[20].original,376,0.05217362081744353
tonal.hpcp.median[21].original,377,0.040192953765806894
