feature,weight
lowlevel.melbands128.skew[82].accompaniment,0.017264226936061538
lowlevel.melbands128.skew[85].accompaniment,0.016079610549123498
lowlevel.melbands128.skew[103].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[104].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[111].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[3].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[4].accompaniment,0.002661375724686525
lowlevel.mfcc.kurt[5].accompaniment,0.002661375724686525
lowlevel.mfcc.kurt[6].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[7].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[8].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[9].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[10].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[11].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[12].accompaniment,0.0021717873405535026
lowlevel.mfcc.kurt[13].accompaniment,0.0021717873405535026
lowlevel.mfcc.max[5].accompaniment,0.002661375724686525
lowlevel.mfcc.max[6].accompaniment,0.0021717873405535026
lowlevel.mfcc.max[8].accompaniment,0.0021717873405535026
lowlevel.mfcc.max[9].accompaniment,0.0021717873405535026
lowlevel.mfcc.max[10].accompaniment,0.002661375724686525
lowlevel.mfcc.max[11].accompaniment,0.002661375724686525
lowlevel.mfcc.max[12].accompaniment,0.01510906669651109
lowlevel.mfcc.mean[7].accompaniment,0.0021717873405535026
lowlevel.mfcc.mean[8].accompaniment,0.011195329721463296
lowlevel.mfcc.mean[9].accompaniment,0.002661375724686525
lowlevel.mfcc.mean[11].accompaniment,0.0021717873405535026
lowlevel.mfcc.mean[13].accompaniment,0.0021717873405535026
lowlevel.mfcc.median[5].accompaniment,0.0021717873405535026
lowlevel.mfcc.median[10].accompaniment,0.002661375724686525
lowlevel.mfcc.median[12].accompaniment,0.0021717873405535026
lowlevel.mfcc.min[5].accompaniment,0.0021717873405535026
lowlevel.mfcc.min[6].accompaniment,0.016476923586566203
lowlevel.mfcc.min[7].accompaniment,0.002661375724686525
lowlevel.mfcc.min[8].accompaniment,0.016794059678588293
lowlevel.mfcc.min[9].accompaniment,0.015163572053099322
lowlevel.mfcc.min[10].accompaniment,0.010468430998382069
lowlevel.mfcc.min[11].accompaniment,0.017664444022877167
lowlevel.mfcc.min[12].accompaniment,0.002661375724686525
lowlevel.mfcc.min[13].accompaniment,0.002661375724686525
lowlevel.mfcc.skew[3].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[4].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[5].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[6].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[7].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[8].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[9].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[10].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[11].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[12].accompaniment,0.0021717873405535026
lowlevel.mfcc.skew[13].accompaniment,0.0021717873405535026
lowlevel.mfcc.var[1].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.dmean2[2].accompaniment,0.017661907593833473
lowlevel.spectral_contrast_coeffs.dmean2[3].accompaniment,0.01195644401610857
lowlevel.spectral_contrast_coeffs.dvar2[1].accompaniment,0.023979399152357795
lowlevel.spectral_contrast_coeffs.dvar2[4].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.kurt[1].accompaniment,0.0021717873405535026
lowlevel.spectral_contrast_coeffs.kurt[2].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.kurt[3].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.kurt[4].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.kurt[5].accompaniment,0.007841747294779025
lowlevel.spectral_contrast_coeffs.kurt[6].accompaniment,0.0021717873405535026
lowlevel.spectral_contrast_coeffs.max[1].accompaniment,0.010007482435259417
lowlevel.spectral_contrast_coeffs.max[6].accompaniment,0.002661375724686525
lowlevel.spectral_contrast_coeffs.mean[1].accompaniment,0.012541162240196394
lowlevel.spectral_contrast_coeffs.mean[6].accompaniment,0.019344253342081282
lowlevel.spectral_contrast_coeffs.min[1].accompaniment,0.0021717873405535026
