feature,index,weight,rank
tonal.key_edma.scale.accompaniment,394,0.002661375724686525,*
lowlevel.mfcc.max[11].accompaniment,227,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.var[1].accompaniment,283,0.002661375724686525,*
tonal.thpcp[21].accompaniment,384,0.002661375724686525,*
lowlevel.melbands128.skew[104].accompaniment,209,0.002661375724686525,*
tonal.thpcp[23].accompaniment,385,0.002661375724686525,*
lowlevel.erbbands_kurtosis.skew.accompaniment,18,0.002661375724686525,*
lowlevel.erbbands_flatness_db.skew.accompaniment,15,0.002661375724686525,*
tonal.thpcp[29].accompaniment,387,0.002661375724686525,*
tonal.thpcp[30].accompaniment,388,0.002661375724686525,*
lowlevel.melbands128.skew[103].accompaniment,208,0.002661375724686525,*
lowlevel.melbands.skew[16].accompaniment,157,0.002661375724686525,*
lowlevel.mfcc.max[5].accompaniment,222,0.002661375724686525,*
lowlevel.mfcc.kurt[4].accompaniment,212,0.002661375724686525,*
lowlevel.mfcc.kurt[5].accompaniment,213,0.002661375724686525,*
lowlevel.spectral_contrast_valleys.var[6].accompaniment,291,0.002661375724686525,*
lowlevel.spectral_contrast_valleys.median[1].accompaniment,289,0.002661375724686525,*
lowlevel.erbbands_crest.min.accompaniment,12,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.var[6].accompaniment,284,0.002661375724686525,*
rhythm.beats_loudness_band_ratio.dvar[1].accompaniment,292,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.dvar2[4].accompaniment,261,0.002661375724686525,*
lowlevel.melbands.skew[12].accompaniment,156,0.002661375724686525,*
lowlevel.gfcc.min[13].accompaniment,140,0.002661375724686525,*
lowlevel.erbbands.max[11].accompaniment,91,0.002661375724686525,*
lowlevel.gfcc.min[12].accompaniment,139,0.002661375724686525,*
lowlevel.gfcc.min[11].accompaniment,138,0.002661375724686525,*
lowlevel.gfcc.min[10].accompaniment,137,0.002661375724686525,*
lowlevel.gfcc.min[9].accompaniment,136,0.002661375724686525,*
lowlevel.gfcc.min[6].accompaniment,134,0.002661375724686525,*
lowlevel.gfcc.min[3].accompaniment,133,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.kurt[2].accompaniment,263,0.002661375724686525,*
lowlevel.gfcc.median[5].accompaniment,129,0.002661375724686525,*
tonal.hpcp.median[26].accompaniment,368,0.002661375724686525,*
lowlevel.gfcc.mean[11].accompaniment,126,0.002661375724686525,*
lowlevel.gfcc.mean[10].accompaniment,125,0.002661375724686525,*
lowlevel.gfcc.max[12].accompaniment,122,0.002661375724686525,*
lowlevel.gfcc.max[9].accompaniment,120,0.002661375724686525,*
lowlevel.gfcc.max[8].accompaniment,119,0.002661375724686525,*
lowlevel.spectral_kurtosis.kurt.accompaniment,53,0.002661375724686525,*
lowlevel.gfcc.max[4].accompaniment,117,0.002661375724686525,*
