Features,Scores
lowlevel.melbands128.skew[53].original,11.100898451328117
lowlevel.gfcc.kurt[3].original,11.036131528996554
lowlevel.melbands128.kurt[92].original,11.020685814362876
lowlevel.mfcc.min[6].original,10.994344507667055
tonal.thpcp[9].original,10.896664916983157
lowlevel.melbands128.skew[56].original,10.832256248455433
lowlevel.melbands128.skew[58].original,10.589907525644502
lowlevel.erbbands.var[9].original,10.469785068331548
lowlevel.loudness_ebu128.short_term.median.original,10.373153029053764
lowlevel.dissonance.kurt.original,10.201985656720009
lowlevel.barkbands.mean[7].original,10.15428950606838
tonal.hpcp_entropy.dvar2.original,10.032279611097053
rhythm.beats_loudness_band_ratio.kurt[5].original,9.87967216331427
lowlevel.melbands128.skew[55].original,9.459735646964608
lowlevel.spectral_entropy.dmean.original,9.311895871854151
lowlevel.barkbands.max[6].original,9.291523649491566
tonal.thpcp[14].original,9.13650903925684
rhythm.onset_rate.original,9.100424119154843
lowlevel.barkbands.skew[15].original,8.863144534084274
tonal.thpcp[27].original,8.810341975761055
tonal.hpcp.median[27].original,8.803063455677968
lowlevel.loudness_ebu128.short_term.kurt.original,8.722007202704638
lowlevel.spectral_contrast_coeffs.mean[6].original,8.701520389757583
lowlevel.melbands128.skew[54].original,8.589712339839997
tonal.chords_histogram[10].original,8.545569603616643
lowlevel.mfcc.var[9].original,8.476981316943396
lowlevel.spectral_contrast_coeffs.var[2].original,8.441232956860544
lowlevel.hfc.skew.original,8.424333576088141
lowlevel.melbands128.max[21].original,8.305060536827455
lowlevel.melbands128.skew[57].original,8.29824175579331
tonal.thpcp[32].original,8.16466093750742
tonal.hpcp.median[2].original,8.070041555937609
lowlevel.loudness_ebu128.momentary.kurt.original,8.059261010935442
lowlevel.mfcc.max[3].original,7.957464720673888
tonal.hpcp.median[36].original,7.93608844492878
lowlevel.spectral_strongpeak.var.original,7.902437936559913
lowlevel.gfcc.kurt[4].original,7.876731257793805
lowlevel.melbands128.skew[45].original,7.782635831572762
tonal.hpcp.median[35].original,7.723645326310464
tonal.hpcp.median[26].original,7.718906820597088
lowlevel.barkbands_kurtosis.median.original,7.263552829972227
lowlevel.mfcc.var[7].original,7.235906359343016
tonal.chords_scale.original,7.192452830188679
tonal.hpcp.median[33].original,7.188107870259895
lowlevel.gfcc.var[3].original,7.1099550053299145
rhythm.beats_loudness_band_ratio.min[1].original,7.104351207911021
lowlevel.mfcc.var[6].original,7.10415146296967
tonal.thpcp[30].original,7.054659202301311
tonal.hpcp.median[20].original,7.052066854460011
tonal.hpcp.median[17].original,7.038212491585259
lowlevel.spectral_energyband_middle_high.skew.original,7.019309448671995
tonal.hpcp.kurt[28].original,6.982832494170134
rhythm.beats_loudness_band_ratio.kurt[3].original,6.913367289070694
tonal.key_temperley.strength.original,6.782792803061442
rhythm.danceability.original,6.739054768855684
lowlevel.barkbands_crest.min.original,6.721442108402734
tonal.hpcp.median[23].original,6.657220309570324
tonal.hpcp.kurt[13].original,6.615741203969546
lowlevel.erbbands_crest.min.original,6.4835358650398796
tonal.hpcp.median[21].original,6.483494485194255
lowlevel.melbands128.max[17].original,6.481407303978212
rhythm.beats_loudness_band_ratio.dvar[4].original,6.437028569326499
lowlevel.mfcc.min[8].original,6.245430720814399
lowlevel.melbands128.max[19].original,6.24288875354069
lowlevel.gfcc.min[8].original,6.084216195871086
lowlevel.mfcc.min[9].original,6.017973007673039
tonal.hpcp.kurt[22].original,6.007687728972538
tonal.hpcp.kurt[34].original,5.997540170832056
lowlevel.spectral_contrast_valleys.dvar2[6].original,5.991060436636736
rhythm.beats_loudness.skew.original,5.944172550637568
tonal.hpcp.median[3].original,5.917513848572174
tonal.chords_histogram[8].original,5.909841910857023
rhythm.beats_loudness_band_ratio.kurt[2].original,5.767779659036258
lowlevel.melbands.skew[17].original,5.761515730805426
tonal.thpcp[8].original,5.7481521790819645
lowlevel.mfcc.min[4].original,5.736926870348521
lowlevel.gfcc.skew[4].original,5.601374549554689
tonal.hpcp.kurt[33].original,5.563223608462988
lowlevel.erbbands.dvar2[23].original,5.450636075504198
lowlevel.spectral_contrast_coeffs.median[1].original,5.422725345317489
tonal.hpcp.median[11].original,5.415363799613475
tonal.thpcp[36].original,5.374990089051897
lowlevel.melbands128.max[24].original,5.369744265668445
tonal.hpcp.kurt[4].original,5.358053372415634
tonal.hpcp.median[8].original,5.346744487807497
lowlevel.barkbands.skew[13].original,5.260576019221243
rhythm.beats_loudness_band_ratio.min[2].original,5.192875187934204
lowlevel.gfcc.var[8].original,5.1628782378612
tonal.hpcp.kurt[18].original,5.068280123760646
tonal.hpcp.kurt[32].original,4.932256350286545
tonal.hpcp.kurt[20].original,4.710252646244936
tonal.hpcp.kurt[8].original,4.702131081842062
lowlevel.erbbands.var[25].original,4.640346755398497
lowlevel.barkbands.dmean2[10].original,4.59316938515828
lowlevel.spectral_complexity.kurt.original,4.575897868734805
tonal.hpcp.median[5].original,4.47552909271678
lowlevel.mfcc.kurt[4].original,4.474553590968717
lowlevel.melbands128.skew[119].original,4.446026040712026
lowlevel.erbbands_crest.dvar.original,4.43155566372226
lowlevel.mfcc.min[12].original,4.404803275607531
tonal.hpcp.kurt[9].original,4.396851771191807
lowlevel.spectral_contrast_coeffs.kurt[2].original,4.3773864750220985
lowlevel.gfcc.max[11].original,4.3724605000634575
lowlevel.spectral_skewness.kurt.original,4.322845739045796
lowlevel.melbands128.kurt[39].original,4.278595168488045
lowlevel.spectral_strongpeak.kurt.original,4.238649838209564
lowlevel.mfcc.min[10].original,4.180560806795856
lowlevel.mfcc.max[13].original,4.152653430951888
tonal.thpcp[21].original,4.130851302932915
lowlevel.spectral_energyband_middle_low.max.original,4.086806149217617
