numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
590,140.384,25.016,0.086,0.052,0.649,0.046,0.647,0.046,0.649,0.046,0.649,0.046,0.653,0.047,0.649,0.046,0.649,0.046
600,145.238,28.184,0.093,0.054,0.642,0.048,0.640,0.048,0.642,0.048,0.642,0.048,0.647,0.048,0.642,0.048,0.642,0.048
610,155.875,29.150,0.092,0.055,0.647,0.046,0.645,0.046,0.647,0.046,0.647,0.046,0.651,0.046,0.647,0.046,0.647,0.046
620,167.234,28.804,0.096,0.056,0.644,0.045,0.642,0.046,0.644,0.045,0.644,0.045,0.649,0.046,0.644,0.045,0.644,0.045
630,171.879,30.284,0.099,0.057,0.644,0.044,0.642,0.045,0.644,0.044,0.644,0.044,0.649,0.045,0.644,0.044,0.644,0.044
640,173.571,32.700,0.102,0.061,0.647,0.044,0.645,0.044,0.647,0.044,0.647,0.044,0.652,0.044,0.647,0.044,0.647,0.044
650,183.695,33.201,0.099,0.059,0.650,0.048,0.647,0.049,0.650,0.048,0.650,0.048,0.654,0.049,0.650,0.048,0.650,0.048
660,188.731,35.888,0.102,0.062,0.652,0.045,0.650,0.045,0.652,0.045,0.652,0.045,0.658,0.045,0.652,0.045,0.652,0.045
670,200.213,36.265,0.106,0.063,0.650,0.047,0.649,0.048,0.650,0.047,0.650,0.047,0.655,0.048,0.650,0.047,0.651,0.047
680,207.812,36.541,0.108,0.066,0.651,0.047,0.649,0.047,0.651,0.047,0.651,0.047,0.656,0.048,0.651,0.047,0.651,0.047
690,208.456,39.106,0.113,0.068,0.649,0.050,0.647,0.051,0.649,0.050,0.649,0.050,0.654,0.052,0.649,0.050,0.649,0.050
700,220.997,39.288,0.117,0.067,0.649,0.047,0.647,0.048,0.649,0.047,0.649,0.047,0.654,0.049,0.649,0.047,0.649,0.047
710,226.638,40.409,0.118,0.069,0.650,0.048,0.648,0.049,0.650,0.048,0.650,0.048,0.655,0.051,0.650,0.048,0.650,0.048
720,232.554,41.229,0.120,0.070,0.654,0.048,0.652,0.048,0.654,0.048,0.654,0.048,0.659,0.049,0.654,0.048,0.654,0.048
730,236.241,42.163,0.120,0.072,0.655,0.046,0.652,0.047,0.655,0.046,0.655,0.046,0.660,0.047,0.655,0.046,0.655,0.046
740,246.572,44.197,0.122,0.073,0.651,0.048,0.648,0.049,0.651,0.048,0.651,0.048,0.655,0.050,0.651,0.048,0.651,0.048
750,251.904,45.827,0.128,0.073,0.652,0.047,0.650,0.049,0.652,0.047,0.652,0.047,0.656,0.050,0.652,0.047,0.653,0.047
760,262.894,45.473,0.128,0.074,0.648,0.047,0.645,0.047,0.648,0.047,0.648,0.047,0.651,0.048,0.648,0.047,0.648,0.047
770,269.039,47.435,0.135,0.076,0.650,0.046,0.647,0.047,0.650,0.046,0.650,0.046,0.654,0.047,0.650,0.046,0.650,0.046
780,273.504,47.890,0.133,0.077,0.651,0.049,0.648,0.049,0.651,0.049,0.651,0.049,0.655,0.050,0.651,0.049,0.651,0.049
790,280.343,49.572,0.138,0.078,0.647,0.049,0.644,0.049,0.647,0.049,0.647,0.049,0.651,0.050,0.647,0.049,0.647,0.049
800,285.722,51.478,0.142,0.080,0.649,0.048,0.646,0.048,0.649,0.048,0.649,0.048,0.653,0.049,0.649,0.048,0.649,0.048
810,300.755,53.148,0.145,0.079,0.650,0.047,0.647,0.047,0.650,0.047,0.650,0.047,0.654,0.048,0.650,0.047,0.650,0.047
820,306.356,53.899,0.144,0.081,0.648,0.045,0.646,0.045,0.648,0.045,0.648,0.045,0.652,0.046,0.648,0.045,0.648,0.045
830,311.092,55.166,0.146,0.085,0.655,0.046,0.653,0.047,0.655,0.046,0.655,0.046,0.659,0.048,0.655,0.046,0.656,0.046
840,321.623,57.282,0.151,0.085,0.654,0.045,0.651,0.046,0.654,0.045,0.654,0.045,0.658,0.047,0.654,0.045,0.654,0.045
850,327.411,58.283,0.153,0.086,0.652,0.044,0.650,0.045,0.652,0.044,0.652,0.044,0.656,0.046,0.652,0.044,0.652,0.044
860,332.642,58.986,0.156,0.083,0.653,0.044,0.651,0.045,0.653,0.044,0.653,0.044,0.658,0.046,0.653,0.044,0.654,0.044
870,339.053,60.065,0.154,0.086,0.654,0.044,0.651,0.045,0.654,0.044,0.654,0.044,0.658,0.046,0.654,0.044,0.654,0.044
