numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
63,0.079,0.013,0.013,0.003,0.637,0.044,0.635,0.044,0.637,0.044,0.637,0.044,0.647,0.045,0.637,0.044,0.633,0.043
64,0.065,0.011,0.011,0.002,0.637,0.048,0.635,0.047,0.637,0.048,0.637,0.048,0.646,0.049,0.637,0.048,0.633,0.047
65,0.071,0.010,0.012,0.002,0.636,0.048,0.634,0.047,0.636,0.048,0.636,0.048,0.646,0.048,0.636,0.048,0.631,0.047
66,0.069,0.010,0.012,0.002,0.637,0.046,0.634,0.045,0.637,0.046,0.637,0.046,0.646,0.046,0.637,0.046,0.632,0.044
67,0.074,0.010,0.013,0.002,0.636,0.047,0.634,0.046,0.636,0.047,0.636,0.047,0.646,0.048,0.636,0.047,0.632,0.046
68,0.073,0.010,0.012,0.002,0.637,0.047,0.634,0.045,0.637,0.047,0.637,0.047,0.647,0.047,0.637,0.047,0.632,0.046
69,0.076,0.011,0.013,0.002,0.637,0.048,0.634,0.047,0.637,0.048,0.637,0.048,0.646,0.048,0.637,0.048,0.632,0.047
70,0.077,0.009,0.013,0.002,0.635,0.049,0.631,0.048,0.635,0.049,0.635,0.049,0.643,0.050,0.635,0.049,0.630,0.048
71,0.073,0.011,0.012,0.003,0.634,0.048,0.631,0.047,0.634,0.048,0.634,0.048,0.643,0.049,0.634,0.048,0.629,0.047
72,0.078,0.010,0.013,0.003,0.633,0.047,0.630,0.046,0.633,0.047,0.633,0.047,0.642,0.048,0.633,0.047,0.628,0.046
73,0.078,0.012,0.013,0.003,0.631,0.047,0.628,0.046,0.631,0.047,0.631,0.047,0.640,0.047,0.631,0.047,0.626,0.046
74,0.082,0.009,0.013,0.002,0.634,0.047,0.632,0.046,0.634,0.047,0.634,0.047,0.643,0.047,0.634,0.047,0.630,0.046
75,0.082,0.011,0.013,0.002,0.633,0.047,0.630,0.045,0.633,0.047,0.633,0.047,0.642,0.047,0.633,0.047,0.628,0.046
76,0.084,0.010,0.014,0.003,0.638,0.045,0.635,0.044,0.638,0.045,0.638,0.045,0.646,0.045,0.638,0.045,0.634,0.044
77,0.082,0.011,0.013,0.003,0.638,0.045,0.635,0.043,0.638,0.045,0.638,0.045,0.646,0.044,0.638,0.045,0.633,0.043
78,0.083,0.012,0.013,0.003,0.638,0.046,0.635,0.044,0.638,0.046,0.638,0.046,0.647,0.045,0.638,0.046,0.634,0.044
79,0.083,0.010,0.013,0.003,0.642,0.044,0.640,0.042,0.642,0.044,0.642,0.044,0.652,0.043,0.642,0.044,0.637,0.043
80,0.069,0.011,0.011,0.003,0.645,0.044,0.643,0.042,0.645,0.044,0.645,0.044,0.655,0.044,0.645,0.044,0.640,0.043
81,0.072,0.011,0.012,0.003,0.642,0.046,0.640,0.045,0.642,0.046,0.642,0.046,0.652,0.047,0.642,0.046,0.638,0.045
82,0.071,0.014,0.012,0.003,0.648,0.044,0.646,0.042,0.648,0.044,0.648,0.044,0.660,0.044,0.648,0.044,0.643,0.043
83,0.069,0.012,0.012,0.002,0.648,0.044,0.646,0.043,0.648,0.044,0.648,0.044,0.659,0.044,0.648,0.044,0.643,0.043
