numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
17,0.040,0.007,0.008,0.002,0.494,0.054,0.491,0.055,0.494,0.054,0.494,0.054,0.523,0.056,0.494,0.054,0.494,0.055
18,0.041,0.008,0.008,0.002,0.521,0.054,0.519,0.054,0.521,0.054,0.521,0.054,0.538,0.053,0.521,0.054,0.521,0.055
19,0.042,0.009,0.009,0.002,0.520,0.052,0.517,0.052,0.520,0.052,0.520,0.052,0.533,0.051,0.520,0.052,0.520,0.053
20,0.040,0.010,0.008,0.002,0.539,0.053,0.537,0.052,0.539,0.053,0.539,0.053,0.548,0.052,0.539,0.053,0.539,0.053
21,0.040,0.010,0.009,0.002,0.552,0.053,0.551,0.052,0.552,0.053,0.552,0.053,0.561,0.052,0.552,0.053,0.552,0.053
22,0.041,0.008,0.009,0.002,0.552,0.052,0.551,0.051,0.552,0.052,0.552,0.052,0.559,0.051,0.552,0.052,0.552,0.052
23,0.042,0.010,0.009,0.002,0.554,0.054,0.553,0.054,0.554,0.054,0.554,0.054,0.562,0.053,0.554,0.054,0.554,0.054
24,0.043,0.009,0.009,0.002,0.563,0.055,0.562,0.054,0.563,0.055,0.563,0.055,0.571,0.054,0.563,0.055,0.563,0.055
25,0.043,0.010,0.009,0.002,0.558,0.053,0.558,0.052,0.558,0.053,0.558,0.053,0.566,0.052,0.558,0.053,0.558,0.053
26,0.044,0.010,0.009,0.002,0.560,0.052,0.560,0.051,0.560,0.052,0.560,0.052,0.568,0.052,0.560,0.052,0.560,0.052
27,0.047,0.010,0.010,0.002,0.559,0.051,0.558,0.051,0.559,0.051,0.559,0.051,0.565,0.051,0.559,0.051,0.559,0.051
28,0.046,0.009,0.009,0.002,0.562,0.051,0.561,0.051,0.562,0.051,0.562,0.051,0.568,0.051,0.562,0.051,0.562,0.051
