numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
96,0.107,0.015,0.017,0.004,0.593,0.049,0.592,0.049,0.593,0.049,0.593,0.049,0.600,0.049,0.593,0.049,0.593,0.049
97,0.108,0.015,0.017,0.005,0.595,0.051,0.594,0.051,0.595,0.051,0.595,0.051,0.602,0.051,0.595,0.051,0.595,0.051
98,0.104,0.016,0.017,0.005,0.594,0.052,0.593,0.052,0.594,0.052,0.594,0.052,0.601,0.051,0.594,0.052,0.594,0.052
99,0.111,0.014,0.018,0.004,0.594,0.053,0.593,0.053,0.594,0.053,0.594,0.053,0.602,0.052,0.594,0.053,0.594,0.053
100,0.101,0.016,0.017,0.005,0.592,0.053,0.591,0.053,0.592,0.053,0.592,0.053,0.599,0.053,0.592,0.053,0.592,0.054
110,0.119,0.014,0.020,0.004,0.604,0.053,0.603,0.053,0.604,0.053,0.604,0.053,0.612,0.052,0.604,0.053,0.604,0.053
120,0.112,0.015,0.020,0.004,0.621,0.050,0.620,0.051,0.621,0.050,0.621,0.050,0.628,0.051,0.621,0.050,0.621,0.051
130,0.106,0.016,0.022,0.006,0.625,0.053,0.624,0.053,0.625,0.053,0.625,0.053,0.632,0.052,0.625,0.053,0.625,0.053
140,0.116,0.019,0.023,0.006,0.644,0.050,0.642,0.050,0.644,0.050,0.644,0.050,0.650,0.050,0.644,0.050,0.644,0.050
150,0.123,0.014,0.027,0.006,0.655,0.051,0.654,0.051,0.655,0.051,0.655,0.051,0.662,0.050,0.655,0.051,0.655,0.051
160,0.120,0.018,0.027,0.007,0.653,0.050,0.652,0.050,0.653,0.050,0.653,0.050,0.659,0.051,0.653,0.050,0.653,0.050
170,0.139,0.015,0.030,0.006,0.655,0.050,0.654,0.051,0.655,0.050,0.655,0.050,0.661,0.051,0.655,0.050,0.655,0.050
180,0.139,0.013,0.031,0.007,0.658,0.049,0.656,0.050,0.658,0.049,0.658,0.049,0.664,0.050,0.658,0.049,0.658,0.049
190,0.144,0.024,0.031,0.009,0.666,0.049,0.665,0.050,0.666,0.049,0.666,0.049,0.672,0.050,0.666,0.049,0.666,0.049
200,0.153,0.019,0.033,0.007,0.666,0.044,0.664,0.044,0.666,0.044,0.666,0.044,0.671,0.045,0.666,0.044,0.666,0.044
210,0.147,0.031,0.032,0.009,0.671,0.046,0.669,0.047,0.671,0.046,0.671,0.046,0.677,0.047,0.671,0.046,0.671,0.046
220,0.167,0.028,0.034,0.009,0.675,0.043,0.673,0.044,0.675,0.043,0.675,0.043,0.681,0.044,0.675,0.043,0.675,0.043
230,0.163,0.038,0.034,0.010,0.675,0.041,0.673,0.041,0.675,0.041,0.675,0.041,0.681,0.042,0.675,0.041,0.675,0.041
240,0.176,0.037,0.037,0.009,0.673,0.045,0.671,0.046,0.673,0.045,0.673,0.045,0.678,0.046,0.673,0.045,0.673,0.045
250,0.193,0.034,0.039,0.009,0.685,0.042,0.684,0.043,0.685,0.042,0.685,0.042,0.691,0.044,0.685,0.042,0.685,0.042
260,0.180,0.047,0.038,0.010,0.686,0.043,0.684,0.044,0.686,0.043,0.686,0.043,0.692,0.044,0.686,0.043,0.686,0.044
270,0.210,0.039,0.043,0.012,0.685,0.044,0.684,0.045,0.685,0.044,0.685,0.044,0.691,0.045,0.685,0.044,0.685,0.044
280,0.226,0.049,0.046,0.011,0.688,0.043,0.687,0.043,0.688,0.043,0.688,0.043,0.695,0.043,0.688,0.043,0.688,0.043
290,0.220,0.047,0.045,0.013,0.687,0.042,0.686,0.043,0.687,0.042,0.687,0.042,0.694,0.043,0.687,0.042,0.687,0.042
300,0.245,0.062,0.046,0.015,0.689,0.042,0.687,0.043,0.689,0.042,0.689,0.042,0.695,0.043,0.689,0.042,0.689,0.042
310,0.249,0.055,0.049,0.013,0.689,0.042,0.688,0.043,0.689,0.042,0.689,0.042,0.696,0.042,0.689,0.042,0.689,0.042
320,0.263,0.061,0.051,0.014,0.689,0.045,0.688,0.045,0.689,0.045,0.689,0.045,0.696,0.046,0.689,0.045,0.689,0.045
330,0.265,0.089,0.048,0.017,0.695,0.045,0.694,0.045,0.695,0.045,0.695,0.045,0.702,0.045,0.695,0.045,0.695,0.045
340,0.279,0.078,0.053,0.018,0.698,0.047,0.697,0.048,0.698,0.047,0.698,0.047,0.704,0.048,0.698,0.047,0.698,0.047
350,0.302,0.087,0.055,0.018,0.699,0.047,0.697,0.047,0.699,0.047,0.699,0.047,0.704,0.047,0.699,0.047,0.699,0.047
360,0.336,0.080,0.060,0.018,0.700,0.051,0.699,0.051,0.700,0.051,0.700,0.051,0.706,0.051,0.700,0.051,0.700,0.051
370,0.334,0.102,0.061,0.022,0.701,0.048,0.700,0.048,0.701,0.048,0.701,0.048,0.707,0.048,0.701,0.048,0.701,0.048
380,0.385,0.084,0.066,0.017,0.706,0.049,0.705,0.049,0.706,0.049,0.706,0.049,0.712,0.049,0.706,0.049,0.706,0.049
390,0.385,0.067,0.066,0.018,0.705,0.047,0.704,0.047,0.705,0.047,0.705,0.047,0.712,0.047,0.705,0.047,0.705,0.047
400,0.417,0.139,0.066,0.024,0.706,0.047,0.705,0.047,0.706,0.047,0.706,0.047,0.713,0.047,0.706,0.047,0.706,0.047
410,0.457,0.136,0.072,0.022,0.702,0.048,0.701,0.048,0.702,0.048,0.702,0.048,0.708,0.048,0.702,0.048,0.702,0.048
420,0.452,0.155,0.066,0.027,0.700,0.048,0.699,0.048,0.700,0.048,0.700,0.048,0.707,0.048,0.700,0.048,0.700,0.048
430,0.502,0.161,0.071,0.023,0.700,0.047,0.699,0.047,0.700,0.047,0.700,0.047,0.707,0.046,0.700,0.047,0.700,0.047
440,0.569,0.179,0.075,0.026,0.696,0.047,0.695,0.048,0.696,0.047,0.696,0.047,0.704,0.048,0.696,0.047,0.696,0.047
450,0.589,0.156,0.081,0.027,0.697,0.050,0.697,0.050,0.697,0.050,0.697,0.050,0.705,0.050,0.697,0.050,0.697,0.050
460,0.616,0.217,0.084,0.028,0.694,0.050,0.693,0.050,0.694,0.050,0.694,0.050,0.701,0.049,0.694,0.050,0.694,0.050
470,0.635,0.278,0.079,0.032,0.696,0.049,0.695,0.049,0.696,0.049,0.696,0.049,0.704,0.048,0.696,0.049,0.696,0.049
480,0.690,0.235,0.087,0.033,0.699,0.048,0.699,0.048,0.699,0.048,0.699,0.048,0.707,0.048,0.699,0.048,0.699,0.048
490,0.713,0.304,0.087,0.035,0.697,0.048,0.697,0.049,0.697,0.048,0.697,0.048,0.705,0.048,0.697,0.048,0.697,0.048
500,0.803,0.311,0.090,0.035,0.698,0.048,0.697,0.049,0.698,0.048,0.698,0.048,0.706,0.048,0.698,0.048,0.698,0.048
510,0.854,0.294,0.103,0.041,0.700,0.049,0.700,0.049,0.700,0.049,0.700,0.049,0.709,0.049,0.700,0.049,0.701,0.049
520,0.804,0.434,0.093,0.036,0.701,0.051,0.701,0.051,0.701,0.051,0.701,0.051,0.709,0.051,0.701,0.051,0.701,0.051
530,0.947,0.269,0.105,0.035,0.699,0.049,0.698,0.050,0.699,0.049,0.699,0.049,0.707,0.049,0.699,0.049,0.699,0.049
540,0.982,0.340,0.113,0.046,0.699,0.049,0.698,0.050,0.699,0.049,0.699,0.049,0.707,0.049,0.699,0.049,0.699,0.050
550,0.950,0.381,0.107,0.040,0.698,0.048,0.697,0.049,0.698,0.048,0.698,0.048,0.706,0.048,0.698,0.048,0.698,0.048
560,1.046,0.590,0.112,0.051,0.699,0.049,0.698,0.050,0.699,0.049,0.699,0.049,0.707,0.049,0.699,0.049,0.699,0.049
570,1.000,0.593,0.107,0.045,0.700,0.049,0.699,0.050,0.700,0.049,0.700,0.049,0.708,0.049,0.700,0.049,0.700,0.049
580,1.031,0.523,0.117,0.046,0.701,0.049,0.700,0.050,0.701,0.049,0.701,0.049,0.709,0.049,0.701,0.049,0.701,0.049
590,1.104,0.506,0.119,0.048,0.701,0.048,0.700,0.049,0.701,0.048,0.701,0.048,0.709,0.048,0.701,0.048,0.701,0.049
600,1.384,0.709,0.125,0.058,0.700,0.049,0.699,0.050,0.700,0.049,0.700,0.049,0.708,0.049,0.700,0.049,0.700,0.049
610,1.142,0.750,0.116,0.051,0.702,0.050,0.701,0.051,0.702,0.050,0.702,0.050,0.710,0.050,0.702,0.050,0.702,0.050
620,1.358,0.530,0.135,0.050,0.702,0.051,0.701,0.052,0.702,0.051,0.702,0.051,0.710,0.051,0.702,0.051,0.702,0.051
630,1.511,0.599,0.138,0.066,0.700,0.050,0.699,0.051,0.700,0.050,0.700,0.050,0.708,0.050,0.700,0.050,0.700,0.050
640,1.317,0.851,0.122,0.055,0.701,0.050,0.700,0.051,0.701,0.050,0.701,0.050,0.709,0.050,0.701,0.050,0.701,0.050
