numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
61,0.061,0.009,0.011,0.002,0.581,0.054,0.581,0.053,0.581,0.054,0.581,0.054,0.594,0.055,0.581,0.054,0.581,0.054
62,0.063,0.010,0.011,0.002,0.584,0.053,0.584,0.053,0.584,0.053,0.584,0.053,0.596,0.054,0.584,0.053,0.584,0.053
63,0.060,0.009,0.010,0.002,0.582,0.053,0.582,0.053,0.582,0.053,0.582,0.053,0.594,0.054,0.582,0.053,0.582,0.054
64,0.051,0.011,0.009,0.002,0.583,0.053,0.583,0.053,0.583,0.053,0.583,0.053,0.594,0.054,0.583,0.053,0.583,0.053
65,0.053,0.010,0.010,0.002,0.584,0.053,0.583,0.053,0.584,0.053,0.584,0.053,0.596,0.054,0.584,0.053,0.584,0.053
66,0.049,0.008,0.009,0.002,0.584,0.054,0.583,0.054,0.584,0.054,0.584,0.054,0.595,0.054,0.584,0.054,0.584,0.054
67,0.049,0.009,0.009,0.002,0.582,0.055,0.582,0.055,0.582,0.055,0.582,0.055,0.593,0.055,0.582,0.055,0.582,0.055
68,0.051,0.010,0.009,0.002,0.583,0.056,0.582,0.055,0.583,0.056,0.583,0.056,0.593,0.056,0.583,0.056,0.583,0.056
69,0.054,0.010,0.010,0.002,0.582,0.055,0.581,0.054,0.582,0.055,0.582,0.055,0.593,0.055,0.582,0.055,0.582,0.055
70,0.056,0.010,0.010,0.002,0.584,0.056,0.584,0.056,0.584,0.056,0.584,0.056,0.595,0.057,0.584,0.056,0.584,0.056
71,0.054,0.010,0.010,0.002,0.585,0.057,0.585,0.057,0.585,0.057,0.585,0.057,0.597,0.058,0.585,0.057,0.585,0.057
72,0.057,0.011,0.010,0.002,0.586,0.057,0.585,0.057,0.586,0.057,0.586,0.057,0.597,0.058,0.586,0.057,0.586,0.057
73,0.060,0.011,0.011,0.003,0.585,0.054,0.585,0.054,0.585,0.054,0.585,0.054,0.597,0.054,0.585,0.054,0.585,0.054
74,0.058,0.009,0.010,0.002,0.583,0.054,0.583,0.053,0.583,0.054,0.583,0.054,0.595,0.054,0.583,0.054,0.583,0.054
75,0.061,0.010,0.011,0.002,0.584,0.054,0.585,0.053,0.584,0.054,0.584,0.054,0.597,0.053,0.584,0.054,0.584,0.054
76,0.061,0.010,0.011,0.002,0.584,0.054,0.584,0.054,0.584,0.054,0.584,0.054,0.596,0.054,0.584,0.054,0.584,0.054
77,0.061,0.010,0.011,0.002,0.580,0.051,0.580,0.051,0.580,0.051,0.580,0.051,0.592,0.051,0.580,0.051,0.580,0.051
78,0.071,0.011,0.013,0.002,0.591,0.052,0.591,0.051,0.591,0.052,0.591,0.052,0.605,0.053,0.591,0.052,0.591,0.052
79,0.076,0.010,0.013,0.002,0.593,0.051,0.593,0.050,0.593,0.051,0.593,0.051,0.606,0.051,0.593,0.051,0.593,0.051
80,0.061,0.009,0.012,0.002,0.595,0.051,0.595,0.050,0.595,0.051,0.595,0.051,0.609,0.052,0.595,0.051,0.595,0.051
81,0.061,0.009,0.012,0.002,0.596,0.051,0.596,0.050,0.596,0.051,0.596,0.051,0.609,0.051,0.596,0.051,0.596,0.051
82,0.064,0.007,0.012,0.002,0.598,0.050,0.598,0.049,0.598,0.050,0.598,0.050,0.612,0.050,0.598,0.050,0.598,0.050
83,0.063,0.009,0.012,0.002,0.600,0.051,0.600,0.050,0.600,0.051,0.600,0.051,0.614,0.051,0.600,0.051,0.600,0.050
84,0.065,0.008,0.013,0.002,0.598,0.051,0.598,0.050,0.598,0.051,0.598,0.051,0.612,0.051,0.598,0.051,0.598,0.051
85,0.064,0.008,0.012,0.002,0.599,0.053,0.599,0.052,0.599,0.053,0.599,0.053,0.612,0.053,0.599,0.053,0.599,0.053
86,0.059,0.010,0.011,0.002,0.597,0.052,0.596,0.051,0.597,0.052,0.597,0.052,0.609,0.052,0.597,0.052,0.597,0.051
87,0.062,0.010,0.011,0.002,0.598,0.052,0.597,0.051,0.598,0.052,0.598,0.052,0.609,0.053,0.598,0.052,0.598,0.051
88,0.064,0.011,0.012,0.003,0.598,0.053,0.597,0.053,0.598,0.053,0.598,0.053,0.609,0.055,0.598,0.053,0.598,0.053
89,0.064,0.010,0.011,0.002,0.594,0.055,0.593,0.055,0.594,0.055,0.594,0.055,0.606,0.057,0.594,0.055,0.594,0.055
90,0.063,0.010,0.011,0.002,0.591,0.055,0.591,0.054,0.591,0.055,0.591,0.055,0.603,0.055,0.591,0.055,0.591,0.054
91,0.067,0.011,0.011,0.002,0.592,0.054,0.591,0.054,0.592,0.054,0.592,0.054,0.604,0.054,0.592,0.054,0.592,0.054
92,0.061,0.009,0.011,0.002,0.595,0.055,0.595,0.055,0.595,0.055,0.595,0.055,0.607,0.055,0.595,0.055,0.595,0.055
93,0.069,0.010,0.012,0.002,0.596,0.056,0.596,0.055,0.596,0.056,0.596,0.056,0.608,0.055,0.596,0.056,0.596,0.055
94,0.069,0.010,0.012,0.003,0.596,0.056,0.596,0.055,0.596,0.056,0.596,0.056,0.608,0.056,0.596,0.056,0.596,0.056
95,0.074,0.012,0.012,0.002,0.596,0.051,0.595,0.050,0.596,0.051,0.596,0.051,0.607,0.050,0.596,0.051,0.596,0.050
96,0.058,0.011,0.011,0.002,0.597,0.051,0.596,0.050,0.597,0.051,0.597,0.051,0.608,0.050,0.597,0.051,0.597,0.051
97,0.070,0.007,0.013,0.002,0.597,0.051,0.596,0.050,0.597,0.051,0.597,0.051,0.608,0.050,0.597,0.051,0.596,0.051
98,0.066,0.008,0.013,0.002,0.597,0.053,0.596,0.052,0.597,0.053,0.597,0.053,0.608,0.052,0.597,0.053,0.597,0.053
99,0.066,0.009,0.012,0.002,0.596,0.052,0.596,0.051,0.596,0.052,0.596,0.052,0.608,0.051,0.596,0.052,0.596,0.051
100,0.068,0.009,0.013,0.002,0.598,0.050,0.598,0.049,0.598,0.050,0.598,0.050,0.609,0.050,0.598,0.050,0.598,0.050
110,0.071,0.010,0.012,0.003,0.612,0.053,0.611,0.052,0.612,0.053,0.612,0.053,0.622,0.053,0.612,0.053,0.612,0.052
120,0.068,0.010,0.012,0.003,0.601,0.056,0.600,0.055,0.601,0.056,0.601,0.056,0.611,0.056,0.601,0.056,0.601,0.056
130,0.062,0.012,0.011,0.003,0.602,0.057,0.601,0.056,0.602,0.057,0.602,0.057,0.611,0.056,0.602,0.057,0.602,0.057
140,0.072,0.011,0.012,0.002,0.608,0.058,0.607,0.057,0.608,0.058,0.608,0.058,0.616,0.056,0.608,0.058,0.608,0.058
150,0.079,0.012,0.013,0.003,0.610,0.054,0.609,0.054,0.610,0.054,0.610,0.054,0.618,0.053,0.610,0.054,0.610,0.054
160,0.088,0.011,0.015,0.003,0.614,0.055,0.613,0.055,0.614,0.055,0.614,0.055,0.622,0.054,0.614,0.055,0.614,0.055
170,0.099,0.011,0.016,0.003,0.614,0.053,0.613,0.053,0.614,0.053,0.614,0.053,0.622,0.053,0.614,0.053,0.614,0.053
180,0.094,0.016,0.015,0.004,0.613,0.056,0.611,0.056,0.613,0.056,0.613,0.056,0.619,0.056,0.613,0.056,0.613,0.056
190,0.107,0.018,0.016,0.004,0.613,0.055,0.612,0.055,0.613,0.055,0.613,0.055,0.620,0.055,0.613,0.055,0.613,0.055
200,0.110,0.021,0.016,0.005,0.614,0.053,0.612,0.053,0.614,0.053,0.614,0.053,0.621,0.053,0.614,0.053,0.614,0.053
210,0.120,0.021,0.018,0.005,0.615,0.055,0.614,0.055,0.615,0.055,0.615,0.055,0.622,0.055,0.615,0.055,0.615,0.055
220,0.127,0.024,0.019,0.005,0.616,0.056,0.615,0.056,0.616,0.056,0.616,0.056,0.623,0.056,0.616,0.056,0.616,0.056
230,0.140,0.039,0.021,0.008,0.618,0.055,0.617,0.054,0.618,0.055,0.618,0.055,0.624,0.054,0.618,0.055,0.618,0.055
240,0.135,0.029,0.021,0.007,0.614,0.054,0.613,0.053,0.614,0.054,0.614,0.054,0.621,0.053,0.614,0.054,0.615,0.054
250,0.138,0.035,0.019,0.008,0.616,0.054,0.615,0.054,0.616,0.054,0.616,0.054,0.623,0.053,0.616,0.054,0.616,0.054
260,0.168,0.042,0.024,0.009,0.619,0.054,0.618,0.054,0.619,0.054,0.619,0.054,0.627,0.053,0.619,0.054,0.619,0.054
270,0.166,0.039,0.023,0.009,0.619,0.052,0.618,0.052,0.619,0.052,0.619,0.052,0.626,0.052,0.619,0.052,0.619,0.052
280,0.177,0.048,0.024,0.009,0.616,0.053,0.615,0.053,0.616,0.053,0.616,0.053,0.624,0.052,0.616,0.053,0.616,0.053
290,0.168,0.036,0.025,0.009,0.617,0.054,0.616,0.054,0.617,0.054,0.617,0.054,0.625,0.054,0.617,0.054,0.617,0.054
300,0.188,0.051,0.025,0.011,0.617,0.052,0.616,0.051,0.617,0.052,0.617,0.052,0.625,0.051,0.617,0.052,0.617,0.051
310,0.201,0.055,0.026,0.011,0.610,0.049,0.609,0.048,0.610,0.049,0.610,0.049,0.617,0.047,0.610,0.049,0.610,0.049
320,0.217,0.082,0.031,0.016,0.611,0.050,0.610,0.049,0.611,0.050,0.611,0.050,0.618,0.048,0.611,0.050,0.611,0.050
322,0.210,0.089,0.028,0.015,0.611,0.051,0.610,0.050,0.611,0.051,0.611,0.051,0.618,0.049,0.611,0.051,0.611,0.050
