numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
66,0.045,0.007,0.009,0.002,0.603,0.050,0.601,0.050,0.603,0.050,0.603,0.050,0.609,0.049,0.603,0.050,0.603,0.050
67,0.045,0.008,0.010,0.002,0.600,0.047,0.599,0.047,0.600,0.047,0.600,0.047,0.607,0.047,0.600,0.047,0.601,0.047
68,0.045,0.009,0.009,0.002,0.602,0.048,0.601,0.048,0.602,0.048,0.602,0.048,0.610,0.048,0.602,0.048,0.602,0.048
69,0.047,0.008,0.010,0.002,0.600,0.046,0.598,0.046,0.600,0.046,0.600,0.046,0.607,0.047,0.600,0.046,0.600,0.046
70,0.048,0.009,0.009,0.002,0.602,0.047,0.600,0.047,0.602,0.047,0.602,0.047,0.608,0.047,0.602,0.047,0.602,0.047
71,0.046,0.008,0.010,0.002,0.598,0.045,0.596,0.045,0.598,0.045,0.598,0.045,0.604,0.045,0.598,0.045,0.598,0.045
72,0.050,0.008,0.010,0.002,0.600,0.049,0.598,0.049,0.600,0.049,0.600,0.049,0.606,0.049,0.600,0.049,0.600,0.049
73,0.050,0.010,0.010,0.002,0.599,0.050,0.597,0.050,0.599,0.050,0.599,0.050,0.606,0.050,0.599,0.050,0.599,0.050
74,0.053,0.008,0.011,0.002,0.603,0.049,0.602,0.049,0.603,0.049,0.603,0.049,0.610,0.049,0.603,0.049,0.603,0.049
75,0.051,0.008,0.010,0.002,0.604,0.050,0.602,0.050,0.604,0.050,0.604,0.050,0.611,0.051,0.604,0.050,0.604,0.051
76,0.051,0.009,0.010,0.002,0.603,0.050,0.601,0.050,0.603,0.050,0.603,0.050,0.609,0.050,0.603,0.050,0.603,0.050
77,0.054,0.009,0.011,0.002,0.600,0.051,0.598,0.051,0.600,0.051,0.600,0.051,0.606,0.051,0.600,0.051,0.600,0.051
78,0.055,0.009,0.011,0.002,0.601,0.050,0.599,0.050,0.601,0.050,0.601,0.050,0.607,0.050,0.601,0.050,0.601,0.050
79,0.055,0.009,0.011,0.002,0.599,0.049,0.597,0.049,0.599,0.049,0.599,0.049,0.606,0.049,0.599,0.049,0.599,0.049
80,0.043,0.008,0.009,0.002,0.601,0.050,0.599,0.051,0.601,0.050,0.601,0.050,0.608,0.051,0.601,0.050,0.601,0.050
81,0.046,0.009,0.009,0.002,0.599,0.048,0.597,0.048,0.599,0.048,0.599,0.048,0.606,0.049,0.599,0.048,0.599,0.048
82,0.046,0.008,0.009,0.002,0.596,0.049,0.594,0.049,0.596,0.049,0.596,0.049,0.603,0.050,0.596,0.049,0.596,0.049
83,0.046,0.008,0.009,0.002,0.602,0.049,0.600,0.050,0.602,0.049,0.602,0.049,0.608,0.051,0.602,0.049,0.602,0.049
84,0.049,0.009,0.010,0.002,0.609,0.050,0.607,0.050,0.609,0.050,0.609,0.050,0.617,0.052,0.609,0.050,0.609,0.050
85,0.050,0.008,0.010,0.002,0.610,0.052,0.609,0.053,0.610,0.052,0.610,0.052,0.618,0.054,0.610,0.052,0.610,0.052
86,0.051,0.009,0.011,0.003,0.611,0.052,0.609,0.052,0.611,0.052,0.611,0.052,0.619,0.053,0.611,0.052,0.611,0.052
87,0.052,0.009,0.011,0.002,0.611,0.053,0.609,0.053,0.611,0.053,0.611,0.053,0.620,0.055,0.611,0.053,0.611,0.053
88,0.052,0.009,0.011,0.002,0.612,0.054,0.611,0.054,0.612,0.054,0.612,0.054,0.621,0.055,0.612,0.054,0.612,0.054
89,0.056,0.009,0.011,0.002,0.614,0.052,0.613,0.053,0.614,0.052,0.614,0.052,0.624,0.054,0.614,0.052,0.614,0.052
90,0.053,0.008,0.010,0.002,0.615,0.053,0.614,0.053,0.615,0.053,0.615,0.053,0.625,0.055,0.615,0.053,0.615,0.053
91,0.057,0.009,0.012,0.002,0.615,0.052,0.614,0.053,0.615,0.052,0.615,0.052,0.625,0.054,0.615,0.052,0.615,0.052
92,0.059,0.009,0.012,0.002,0.614,0.051,0.613,0.051,0.614,0.051,0.614,0.051,0.625,0.052,0.614,0.051,0.614,0.051
93,0.061,0.009,0.012,0.003,0.615,0.051,0.614,0.051,0.615,0.051,0.615,0.051,0.626,0.053,0.615,0.051,0.615,0.051
94,0.060,0.009,0.012,0.002,0.616,0.052,0.614,0.053,0.616,0.052,0.616,0.052,0.626,0.054,0.616,0.052,0.616,0.052
95,0.056,0.009,0.011,0.002,0.620,0.053,0.619,0.053,0.620,0.053,0.620,0.053,0.630,0.054,0.620,0.053,0.620,0.053
96,0.048,0.009,0.010,0.002,0.621,0.053,0.620,0.053,0.621,0.053,0.621,0.053,0.632,0.054,0.621,0.053,0.621,0.053
97,0.051,0.008,0.011,0.002,0.622,0.052,0.621,0.053,0.622,0.052,0.622,0.052,0.633,0.054,0.622,0.052,0.622,0.052
98,0.053,0.009,0.011,0.002,0.622,0.053,0.621,0.053,0.622,0.053,0.622,0.053,0.633,0.055,0.622,0.053,0.622,0.053
99,0.050,0.008,0.011,0.003,0.622,0.053,0.621,0.053,0.622,0.053,0.622,0.053,0.633,0.055,0.622,0.053,0.622,0.053
100,0.051,0.008,0.010,0.002,0.621,0.052,0.620,0.053,0.621,0.052,0.621,0.052,0.631,0.054,0.621,0.052,0.621,0.052
110,0.063,0.010,0.012,0.002,0.615,0.053,0.613,0.054,0.615,0.053,0.615,0.053,0.623,0.055,0.615,0.053,0.615,0.053
