numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
75,0.050,0.009,0.010,0.002,0.608,0.050,0.606,0.051,0.608,0.050,0.608,0.050,0.616,0.053,0.608,0.050,0.608,0.050
76,0.054,0.009,0.011,0.002,0.608,0.051,0.605,0.052,0.608,0.051,0.608,0.051,0.615,0.054,0.608,0.051,0.608,0.051
77,0.052,0.008,0.010,0.002,0.608,0.052,0.606,0.052,0.608,0.052,0.608,0.052,0.617,0.054,0.608,0.052,0.608,0.052
78,0.053,0.009,0.010,0.002,0.604,0.049,0.602,0.049,0.604,0.049,0.604,0.049,0.612,0.052,0.604,0.049,0.604,0.049
79,0.056,0.009,0.011,0.002,0.609,0.052,0.606,0.053,0.609,0.052,0.609,0.052,0.617,0.054,0.609,0.052,0.609,0.052
80,0.044,0.008,0.009,0.002,0.605,0.052,0.603,0.052,0.605,0.052,0.605,0.052,0.614,0.054,0.605,0.052,0.605,0.051
81,0.047,0.008,0.010,0.002,0.606,0.052,0.604,0.052,0.606,0.052,0.606,0.052,0.615,0.055,0.606,0.052,0.606,0.052
82,0.047,0.008,0.010,0.002,0.605,0.053,0.603,0.053,0.605,0.053,0.605,0.053,0.614,0.055,0.605,0.053,0.605,0.053
83,0.047,0.008,0.009,0.002,0.604,0.053,0.602,0.053,0.604,0.053,0.604,0.053,0.613,0.055,0.604,0.053,0.604,0.052
84,0.048,0.010,0.010,0.002,0.604,0.053,0.602,0.053,0.604,0.053,0.604,0.053,0.613,0.055,0.604,0.053,0.604,0.053
85,0.049,0.008,0.010,0.002,0.605,0.053,0.603,0.054,0.605,0.053,0.605,0.053,0.613,0.054,0.605,0.053,0.605,0.053
86,0.050,0.009,0.010,0.002,0.606,0.052,0.604,0.053,0.606,0.052,0.606,0.052,0.614,0.054,0.606,0.052,0.606,0.052
87,0.054,0.009,0.011,0.002,0.606,0.051,0.605,0.051,0.606,0.051,0.606,0.051,0.615,0.053,0.606,0.051,0.606,0.051
