feature,index,rank
lowlevel.gfcc.max[9].vocal,796,45
lowlevel.melbands128.skew[53].accompaniment,153,46
lowlevel.melbands128.skew[75].accompaniment,166,47
lowlevel.melbands128.skew[57].accompaniment,157,48
lowlevel.melbands128.skew[55].accompaniment,155,49
lowlevel.melbands128.skew[67].original,509,50
lowlevel.melbands128.skew[65].original,507,51
lowlevel.hfc.skew.original,338,52
lowlevel.spectral_contrast_coeffs.mean[1].accompaniment,224,53
lowlevel.mfcc.min[6].original,538,54
lowlevel.barkbands_kurtosis.median.original,323,55
lowlevel.gfcc.max[11].accompaniment,96,56
tonal.hpcp.median[29].original,637,57
lowlevel.melbands128.skew[67].accompaniment,161,58
lowlevel.mfcc.min[8].accompaniment,200,59
lowlevel.melbands128.skew[64].original,506,60
lowlevel.hfc.skew.accompaniment,19,61
tonal.hpcp.median[27].original,636,62
lowlevel.zerocrossingrate.min.vocal,712,63
lowlevel.melbands128.skew[68].accompaniment,162,64
rhythm.beats_loudness_band_ratio.skew[6].accompaniment,252,65
lowlevel.melbands128.skew[80].accompaniment,167,66
lowlevel.erbbands.dmean[19].vocal,733,67
lowlevel.gfcc.skew[4].original,443,68
lowlevel.melbands128.skew[85].accompaniment,169,69
lowlevel.erbbands_flatness_db.mean.vocal,667,70
lowlevel.spectral_contrast_coeffs.var[1].vocal,900,71
lowlevel.melbands128.skew[71].accompaniment,164,72
tonal.thpcp[2].original,643,73
lowlevel.melbands128.skew[53].original,499,74
lowlevel.barkbands.dmean2[13].vocal,729,75
tonal.hpcp.median[12].original,628,76
lowlevel.melbands128.skew[56].accompaniment,156,77
lowlevel.spectral_centroid.min.vocal,690,78
lowlevel.spectral_complexity.dvar.vocal,691,79
lowlevel.mfcc.min[6].accompaniment,198,80
lowlevel.spectral_strongpeak.dmean2.vocal,709,81
lowlevel.spectral_flux.kurt.original,365,82
lowlevel.spectral_entropy.skew.accompaniment,36,83
lowlevel.loudness_ebu128.loudness_range.original,340,84
lowlevel.erbbands.dmean2[16].vocal,738,85
lowlevel.spectral_energy.dmean2.vocal,692,86
lowlevel.mfcc.var[6].original,557,87
tonal.thpcp[26].accompaniment,314,88
rhythm.beats_loudness_band_ratio.kurt[1].vocal,912,89
lowlevel.spectral_contrast_coeffs.kurt[5].accompaniment,222,90
lowlevel.loudness_ebu128.momentary.kurt.original,341,91
rhythm.beats_loudness_band_ratio.max[6].accompaniment,249,92
tonal.hpcp.median[24].original,634,93
lowlevel.melbands128.skew[62].original,505,94
tonal.hpcp.median[33].original,640,95
rhythm.danceability.original,378,96
lowlevel.gfcc.min[3].vocal,803,97
rhythm.beats_loudness_band_ratio.kurt[2].vocal,913,98
lowlevel.melbands128.skew[55].original,501,99
lowlevel.spectral_flux.kurt.accompaniment,37,100
rhythm.beats_loudness_band_ratio.dmean[5].vocal,909,101
tonal.thpcp[12].accompaniment,308,102
tonal.thpcp[9].accompaniment,307,103
rhythm.beats_loudness_band_ratio.var[1].vocal,921,104
tonal.hpcp.median[20].original,632,105
lowlevel.mfcc.min[11].accompaniment,203,106
lowlevel.erbbands_crest.kurt.accompaniment,10,107
lowlevel.melbands128.skew[57].original,503,108
lowlevel.erbbands_spread.skew.original,337,109
lowlevel.erbbands_crest.min.original,328,110
lowlevel.mfcc.min[4].original,536,111
lowlevel.mfcc.min[7].vocal,879,112
lowlevel.silence_rate_60dB.var.original,356,113
lowlevel.mfcc.var[9].original,558,114
lowlevel.mfcc.var[8].vocal,886,115
tonal.hpcp_entropy.skew.accompaniment,50,116
lowlevel.barkbands_flatness_db.skew.accompaniment,3,117
tonal.hpcp.dmean[23].vocal,948,118
lowlevel.erbbands.mean[8].accompaniment,69,119
tonal.hpcp.median[35].original,641,120
lowlevel.spectral_contrast_coeffs.mean[6].accompaniment,225,121
tonal.hpcp.dmean[27].vocal,949,122
lowlevel.melbands128.skew[56].original,502,123
lowlevel.mfcc.min[8].original,540,124
tonal.key_temperley.strength.original,387,125
lowlevel.barkbands.max[6].accompaniment,53,126
lowlevel.mfcc.max[12].vocal,875,127
lowlevel.barkbands_crest.min.accompaniment,0,128
